"","RegionID","RegionName","State","Metro","CountyName","SizeRank","1996.04","1996.05","1996.06","1996.07","1996.08","1996.09","1996.10","1996.11","1996.12","1997.01","1997.02","1997.03","1997.04","1997.05","1997.06","1997.07","1997.08","1997.09","1997.10","1997.11","1997.12","1998.01","1998.02","1998.03","1998.04","1998.05","1998.06","1998.07","1998.08","1998.09","1998.10","1998.11","1998.12","1999.01","1999.02","1999.03","1999.04","1999.05","1999.06","1999.07","1999.08","1999.09","1999.10","1999.11","1999.12","2000.01","2000.02","2000.03","2000.04","2000.05","2000.06","2000.07","2000.08","2000.09","2000.10","2000.11","2000.12","2001.01","2001.02","2001.03","2001.04","2001.05","2001.06","2001.07","2001.08","2001.09","2001.10","2001.11","2001.12","2002.01","2002.02","2002.03","2002.04","2002.05","2002.06","2002.07","2002.08","2002.09","2002.10","2002.11","2002.12","2003.01","2003.02","2003.03","2003.04","2003.05","2003.06","2003.07","2003.08","2003.09","2003.10","2003.11","2003.12","2004.01","2004.02","2004.03","2004.04","2004.05","2004.06","2004.07","2004.08","2004.09","2004.10","2004.11","2004.12","2005.01","2005.02","2005.03","2005.04","2005.05","2005.06","2005.07","2005.08","2005.09","2005.10","2005.11","2005.12","2006.01","2006.02","2006.03","2006.04","2006.05","2006.06","2006.07","2006.08","2006.09","2006.10","2006.11","2006.12","2007.01","2007.02","2007.03","2007.04","2007.05","2007.06","2007.07","2007.08","2007.09","2007.10","2007.11","2007.12","2008.01","2008.02","2008.03","2008.04","2008.05","2008.06","2008.07","2008.08","2008.09","2008.10","2008.11","2008.12","2009.01","2009.02","2009.03","2009.04","2009.05","2009.06","2009.07","2009.08","2009.09","2009.10","2009.11","2009.12","2010.01","2010.02","2010.03","2010.04","2010.05","2010.06","2010.07","2010.08","2010.09","2010.10","2010.11","2010.12","2011.01","2011.02","2011.03","2011.04","2011.05","2011.06","2011.07","2011.08","2011.09","2011.10","2011.11","2011.12","2012.01","2012.02","2012.03","2012.04","2012.05","2012.06","2012.07","2012.08","2012.09","2012.10","2012.11","2012.12","2013.01","2013.02","2013.03","2013.04","2013.05","2013.06","2013.07","2013.08","2013.09","2013.10","2013.11","2013.12","2014.01","2014.02","2014.03","2014.04","2014.05","2014.06","2014.07","2014.08","2014.09","2014.10","2014.11","2014.12","2015.01","2015.02","2015.03","2015.04","2015.05","2015.06","2015.07","2015.08","2015.09","2015.10","2015.11","2015.12","2016.01"
"13",20330,"San Francisco","CA","San Francisco","San Francisco",13,258700,259100,259400,260000,261100,261800,262300,263500,265500,268000,270800,273700,276800,279800,282500,285500,288900,291400,293800,297000,300600,304600,308900,313300,317300,320500,323300,327100,331300,334800,337700,341100,344700,348000,350000,351200,353100,356900,362200,368100,374400,382000,391100,400900,411600,423200,434400,445300,456400,467800,477200,483100,486600,491100,496100,500200,503000,503000,502900,505400,507600,506200,506000,508400,512300,516300,518200,516300,514000,515100,516900,517100,519100,527200,537900,547200,554800,560300,563500,566400,568400,568600,568500,568200,567800,569200,573000,577400,582000,585500,590800,600800,613700,625600,637600,650900,663500,671000,672800,674300,677800,683700,692600,702400,711900,723900,738700,752600,761300,765400,769900,776100,780900,785200,788600,789300,788300,786500,782500,778000,777400,778800,778600,776700,776300,775800,773800,770500,769400,772200,778400,786300,794800,803400,811200,817900,822500,825600,825900,822200,815800,810800,805400,798100,790000,782300,772000,761300,751900,744200,740400,741700,739500,731200,722600,715600,708000,701300,697600,696200,695800,695300,694800,695800,698700,702700,706100,706400,704500,703400,703100,701200,698800,697500,696200,694200,693100,692000,687400,680700,675800,672700,670200,668900,668300,668100,668000,668600,670900,673300,675700,679100,683900,689700,697700,708300,719000,729300,740600,752200,762300,772200,783500,795200,806000,817500,832200,847300,860300,872700,884400,892500,900100,909500,920000,931800,943700,952900,959700,963700,966100,969500,975000,980700,985600,989300,997100,1012900,1034900,1054700,1069600,1083200,1097600,1105900,1107900,1111100,1121000,1130400
